Energy(eV)+1j*SigmaT (microns) 	Weights
(8343946877.301012+25j)	(5.06563049101447+0j)
(8380169133.997652+25j)	(5.06563049101447+0j)
(8382746480.215813+25j)	(5.06563049101447+0j)
(8357545268.633242+25j)	(5.06563049101447+0j)
(8385396404.449738+25j)	(5.06563049101447+0j)
(8322499509.316357+25j)	(5.06563049101447+0j)
(8294928811.669558+25j)	(5.06563049101447+0j)
(8365095007.948736+25j)	(5.06563049101447+0j)
(8285709318.122528+25j)	(5.06563049101447+0j)
(8372173238.500309+25j)	(5.06563049101447+0j)
(8382962693.686239+25j)	(5.06563049101447+0j)
(8225401803.837215+25j)	(5.100635077506079+0j)
(8268119925.633462+25j)	(5.100635077506079+0j)
(8269587234.435097+25j)	(5.100635077506079+0j)
(8270598036.140007+25j)	(5.100635077506079+0j)
(8381439249.4779415+25j)	(5.100635077506079+0j)
(8253902730.956032+25j)	(5.100635077506079+0j)
(8371833565.291354+25j)	(5.100635077506079+0j)
(8350379873.206604+25j)	(5.100635077506079+0j)
(8351362063.749622+25j)	(5.100635077506079+0j)
(8361449784.467754+25j)	(5.100635077506079+0j)
(8296355379.80809+25j)	(5.100635077506079+0j)
(8382463290.474779+30j)	(5.042653954365191+0j)
(8380996548.097454+30j)	(5.180034061096009+0j)
(8373158458.763248+30j)	(5.180034061096009+0j)
(8334648868.222435+30j)	(5.180034061096009+0j)
(8358819507.05952+30j)	(5.180034061096009+0j)
(8362634237.925052+30j)	(5.064447116973583+0j)
(8345557434.107489+30j)	(5.064447116973583+0j)
(8353879933.223032+30j)	(5.064447116973583+0j)
(8332142589.743441+30j)	(5.064447116973583+0j)
(8258229853.242538+30j)	(5.064447116973583+0j)
(8330933949.331797+30j)	(5.268279976863988+0j)
(8329624139.097195+30j)	(5.268279976863988+0j)
(8312773952.164906+30j)	(5.268279976863988+0j)
(8267701132.859713+30j)	(4.583991721526534+0j)
(8292166293.376903+30j)	(4.583991721526534+0j)
(8307448072.801225+30j)	(4.583991721526534+0j)
(8380056000.11027+30j)	(5.164685535875+0j)
(8369312657.159227+30j)	(5.164685535875+0j)
(8361482403.342361+30j)	(5.164685535875+0j)
(8280318901.422376+30j)	(5.164685535875+0j)
(8306765440.865677+30j)	(4.931057554801202+0j)
(8368140980.294918+30j)	(4.931057554801202+0j)
(8356508588.906815+30j)	(4.931057554801202+0j)
(8338954373.607317+30j)	(4.931057554801202+0j)
(8296605263.914593+30j)	(4.931057554801202+0j)
(8357490525.093052+30j)	(4.931057554801202+0j)
(8352453254.422757+30j)	(4.931057554801202+0j)
(8360289762.52104+30j)	(4.931057554801202+0j)
(8322357007.792818+30j)	(5.626510716415814+0j)
(8310095030.117294+30j)	(5.626510716415814+0j)
(8366759011.830015+30j)	(5.626510716415814+0j)
(8310655314.925253+30j)	(5.626510716415814+0j)
(8339663828.715687+30j)	(5.626510716415814+0j)
(8358671344.914082+30j)	(5.626510716415814+0j)
(8295903888.401287+30j)	(5.626510716415814+0j)
(8262870462.0365095+30j)	(5.626510716415814+0j)
(8344280439.894249+30j)	(5.626510716415814+0j)
(8284612376.051009+30j)	(4.9278145820671+0j)
(8244911590.031425+30j)	(4.9278145820671+0j)
(8333195023.846301+30j)	(4.9278145820671+0j)
(8292058389.274553+30j)	(4.9278145820671+0j)
(8335395630.119549+30j)	(4.9278145820671+0j)
(8379910146.013079+30j)	(4.850112250638445+0j)
(8374106319.907866+30j)	(4.850112250638445+0j)
(8377779955.285183+35j)	(4.45203180841418+0j)
(8348868113.622856+35j)	(4.45203180841418+0j)
(8344986979.187952+35j)	(4.45203180841418+0j)
(8371895352.861584+35j)	(4.45203180841418+0j)
(8315309023.884233+35j)	(4.45203180841418+0j)
(8342516852.103613+35j)	(4.734384155912557+0j)
(8341924288.998579+35j)	(4.734384155912557+0j)
(8282223106.548914+35j)	(4.734384155912557+0j)
(8337505075.4478+35j)	(4.724075151210608+0j)
(8252838244.814234+35j)	(4.724075151210608+0j)
(8325694171.1083355+35j)	(4.724075151210608+0j)
(8339943238.209656+35j)	(4.724075151210608+0j)
(8308396976.065943+35j)	(4.724075151210608+0j)
(8366370047.93708+35j)	(4.724075151210608+0j)
(8309825140.316616+35j)	(4.861916024985939+0j)
(8368696214.67578+35j)	(4.861916024985939+0j)
(8339135881.413513+35j)	(4.645274603850415+0j)
(8343925875.916624+35j)	(4.645274603850415+0j)
(8372699888.428566+35j)	(4.793765231485038+0j)
(8357336489.365353+35j)	(4.748512250962815+0j)
(8352688920.454886+35j)	(4.748512250962815+0j)
(8303132951.797991+35j)	(4.748512250962815+0j)
(8311694356.742772+35j)	(4.748512250962815+0j)
(8375490313.205931+35j)	(4.646891905185877+0j)
(8302173256.847595+35j)	(4.646891905185877+0j)
(8355020655.396081+35j)	(4.919286436880367+0j)
